                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4357,                 3.2892,                0.96623,                0.02649,                0.14352,                0.03644,                0.01277,                 2.1664,                 3.3251,                 1.0157,               0.070789,              0.0032456,              0.0032456
                      1,                 1.7684,                 1.8082,                0.98889,                0.04207,                0.25306,                0.19667,                 0.0866,                  1.653,                  2.602,                 1.0101,               0.040757,              0.0065464,              0.0065464
                      2,                 1.8251,                 1.7438,                 1.0221,                0.91542,                0.16572,                0.17986,                0.08608,                  1.761,                 2.1921,                 1.0436,               0.010691,              0.0098141,              0.0098141
                      3,                 1.7864,                 1.9462,                 1.0049,                0.43277,                0.21769,                0.21739,                0.11606,                 1.6061,                 1.7012,                 1.0157,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.7352,                 1.6415,                0.99551,                0.92062,                 0.1977,                0.21087,                0.09809,                  1.689,                  1.501,                 1.0143,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.5937,                 1.6206,                 1.0101,                0.93511,                0.21037,                0.23029,                0.11831,                 1.5668,                 1.6375,                0.99065,               0.009802,               0.009802,               0.009802
                      6,                 1.6122,                 1.4822,                 1.0078,                0.70464,                0.22071,                0.24874,                0.14844,                 1.3794,                 1.1714,                0.95156,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.5558,                 1.3727,                0.99311,                0.96175,                 0.2261,                0.25503,                0.14022,                  1.448,                 1.3006,                0.97178,               0.009703,               0.009703,               0.009703
                      8,                 1.4533,                 1.3199,                0.97431,                 0.9664,                0.23333,                0.26193,                0.17034,                 1.1591,                 1.0257,                 0.9232,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4108,                 1.4108,                0.97313,                0.95964,                0.22423,                0.25559,                0.13991,                 1.4048,                 1.1379,                 0.9657,               0.009604,               0.009604,               0.009604
                     10,                 1.4024,                 1.2653,                0.97188,                0.77735,                0.29597,                0.29945,                0.15942,                 1.4933,                 1.0871,                0.95407,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.3915,                 1.1943,                0.96836,                0.81657,                0.31041,                0.33862,                0.19849,                 1.2381,                 1.0681,                0.92766,               0.009505,               0.009505,               0.009505
                     12,                 1.3842,                 1.1521,                0.94629,                0.84779,                0.30761,                0.35328,                0.21437,                 1.1568,                0.98351,                 0.9271,              0.0094555,              0.0094555,              0.0094555
                     13,                  1.356,                 1.1036,                0.93708,                0.82501,                0.36587,                0.39084,                0.23252,                 1.1143,                0.88969,                0.90767,               0.009406,               0.009406,               0.009406
                     14,                 1.3351,                  1.079,                0.93994,                0.57504,                0.39131,                0.41103,                0.24705,                 1.0727,                 1.0012,                0.90743,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.2064,                 1.0698,                 0.9381,                0.62736,                0.44469,                0.44525,                0.26432,                 1.2144,                0.86551,                 0.9356,               0.009307,               0.009307,               0.009307
                     16,                 1.2646,                 1.0259,                0.91841,                0.63566,                0.47153,                0.46344,                0.28225,                 1.0847,                 1.0559,                0.90848,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.2333,                0.97925,                0.91825,                0.70693,                0.52759,                0.52444,                0.33494,                 1.1496,                0.80865,                0.90674,               0.009208,               0.009208,               0.009208
                     18,                 1.2489,                0.93119,                0.92393,                0.82515,                0.55238,                0.62593,                0.38828,                 1.0609,                0.75844,                0.91567,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.2711,                0.94086,                0.92299,                0.83176,                 0.5775,                0.63285,                0.38398,                 1.0848,                0.72551,                0.89929,               0.009109,               0.009109,               0.009109
                     20,                 1.2358,                0.89559,                 0.9122,                0.89665,                0.58021,                0.67744,                0.40874,                 1.1346,                0.71296,                0.89585,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.2051,                0.87951,                 0.9102,                0.88141,                0.58668,                0.70973,                0.43417,                 1.1167,                0.73462,                 0.9138,                0.00901,                0.00901,                0.00901
                     22,                 1.1972,                0.85057,                0.91307,                0.87356,                0.61987,                  0.721,                0.44221,                 1.1186,                0.72648,                0.89289,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.1893,                0.82497,                0.89866,                  0.873,                0.61595,                0.72347,                0.45986,                 1.0265,                0.69597,                0.89455,               0.008911,               0.008911,               0.008911
