                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0655,                 1.4495,                 1.0587,                0.71545,                0.66925,                0.65845,                0.47888,                 1.1254,                0.95735,                 1.0002,               0.070012,              0.0033319,              0.0033319
                      1,                0.96506,                0.96139,                 1.0204,                0.66475,                0.67323,                0.67996,                0.50762,                 1.0149,                0.89658,                0.98535,                0.03988,              0.0065333,              0.0065333
                      2,                0.99147,                0.95847,                 1.0409,                0.89021,                0.53348,                0.57562,                0.44217,                 1.1005,                 1.1726,                 1.0418,              0.0096165,              0.0096027,              0.0096027
                      3,                0.98743,                0.93924,                 1.0551,                0.71581,                0.60351,                 0.6554,                 0.5098,                 1.0315,                0.91414,                 1.0187,               0.009406,               0.009406,               0.009406
                      4,                0.91874,                0.83931,                 1.0279,                 0.7731,                0.62892,                0.68613,                0.53423,                0.95221,                0.86196,                 1.0081,               0.009406,               0.009406,               0.009406
                      5,                0.86907,                0.77359,                 1.0072,                0.70928,                0.71016,                 0.7075,                0.54529,                0.93024,                0.81347,                0.98217,               0.009208,               0.009208,               0.009208
                      6,                0.83658,                0.72788,                0.99689,                0.84143,                0.58405,                0.67303,                0.54121,                0.93433,                0.87172,                0.99927,                0.00901,                0.00901,                0.00901
                      7,                0.81581,                0.69997,                 0.9875,                0.76947,                0.70472,                0.71685,                0.54706,                 0.9175,                0.74884,                0.99344,               0.008812,               0.008812,               0.008812
                      8,                0.79353,                0.66563,                0.97952,                0.73335,                0.66647,                0.67895,                0.53829,                 0.9336,                0.75731,                0.98438,               0.008614,               0.008614,               0.008614
                      9,                0.77776,                0.64693,                 0.9747,                0.78503,                 0.7423,                0.76313,                0.58594,                0.86589,                0.67437,                 0.9678,               0.008416,               0.008416,               0.008416
                     10,                0.75373,                0.62276,                0.96425,                0.78074,                 0.6967,                 0.7297,                0.56723,                0.87769,                0.71098,                0.96793,               0.008218,               0.008218,               0.008218
                     11,                0.74362,                0.60977,                0.96198,                0.82134,                0.58583,                0.69556,                0.56465,                0.85233,                0.77073,                0.96262,                0.00802,                0.00802,                0.00802
                     12,                0.73627,                0.59845,                0.95723,                0.71432,                0.67519,                0.71961,                0.57558,                0.85071,                  0.731,                0.96053,               0.007822,               0.007822,               0.007822
                     13,                0.72203,                0.57964,                  0.954,                 0.7968,                0.73421,                0.77789,                0.60365,                0.82338,                 0.6369,                0.94691,               0.007624,               0.007624,               0.007624
                     14,                0.72101,                0.57069,                0.95133,                0.74511,                0.69162,                0.72365,                0.58101,                0.82241,                0.68086,                0.94785,               0.007426,               0.007426,               0.007426
                     15,                0.71037,                0.55996,                 0.9518,                0.78253,                0.74743,                0.77117,                0.60078,                0.81512,                0.62871,                0.94246,               0.007228,               0.007228,               0.007228
