                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3928,                 3.8615,                0.97277,                0.00105,                0.00736,                0.00054,                0.00022,                   1.33,                 3.7459,                0.90413,                 0.0838,                 0.0018,                 0.0018
                      1,                 1.4833,                 1.9228,                0.93366,                0.02881,                0.12114,                0.06072,                0.02204,                 1.7561,                 3.3604,                0.94744,               0.066685,              0.0036853,              0.0036853
                      2,                 1.6153,                 1.6434,                0.96334,                0.04809,                0.26315,                0.20361,                0.08382,                 1.5542,                 2.9054,                0.96235,               0.049556,              0.0055556,              0.0055556
                      3,                 1.6216,                 1.5311,                0.96968,                0.04572,                0.27964,                0.21916,                0.10569,                 1.6813,                 2.5414,                 1.0183,               0.032411,              0.0074109,              0.0074109
                      4,                 1.6978,                  1.574,                0.98313,                0.04715,                0.48119,                0.14989,                0.07169,                 1.6419,                 2.4939,                 1.0305,               0.015251,              0.0092511,              0.0092511
                      5,                 1.7079,                 1.5478,                0.99748,                0.97735,                0.18825,                0.24583,                 0.1225,                 1.6008,                 1.9676,                0.98001,               0.009802,               0.009802,               0.009802
                      6,                 1.6671,                  1.504,                0.98702,                0.93148,                0.21403,                0.22448,                0.12103,                 1.5164,                 1.3041,                0.99173,               0.009802,               0.009802,               0.009802
                      7,                 1.5371,                 1.4028,                0.96777,                0.93969,                0.21335,                 0.2383,                0.11892,                 1.5895,                 1.3542,                0.96198,              0.0097624,              0.0097624,              0.0097624
                      8,                 1.4558,                 1.4309,                0.93639,                0.95109,                0.21656,                0.24719,                 0.1425,                 1.3732,                 1.8271,                0.94446,              0.0097228,              0.0097228,              0.0097228
                      9,                  1.466,                 1.3438,                0.93453,                0.51782,                0.30135,                0.28075,                0.15909,                 1.3772,                 1.1692,                0.94306,              0.0096832,              0.0096832,              0.0096832
                     10,                 1.4495,                 1.3146,                0.94712,                0.49938,                0.30047,                 0.2974,                0.19616,                 1.1261,                  1.084,                0.91159,              0.0096436,              0.0096436,              0.0096436
                     11,                 1.3816,                 1.2671,                 0.9259,                0.54794,                0.36015,                0.32969,                0.18636,                 1.2469,                 1.0964,                0.90585,               0.009604,               0.009604,               0.009604
                     12,                 1.4134,                 1.1774,                0.92735,                0.57786,                0.37606,                0.37502,                0.21786,                 1.2166,                0.97796,                0.91298,              0.0095644,              0.0095644,              0.0095644
                     13,                 1.3429,                 1.1046,                0.93841,                0.57058,                0.44811,                0.39248,                0.21009,                 1.3343,                 1.0431,                  0.936,              0.0095248,              0.0095248,              0.0095248
                     14,                 1.3324,                  1.102,                0.94082,                0.64204,                  0.487,                0.43946,                0.27816,                 1.0745,                0.96362,                0.89287,              0.0094852,              0.0094852,              0.0094852
                     15,                 1.2001,                 1.0857,                0.91291,                0.73448,                0.55163,                0.54368,                0.34472,                 1.0628,                0.86452,                0.89865,              0.0094456,              0.0094456,              0.0094456
                     16,                 1.2434,                 1.0049,                0.91879,                0.83268,                0.55987,                0.62202,                0.39368,                  1.034,                 0.9164,                0.90233,               0.009406,               0.009406,               0.009406
                     17,                 1.2634,                0.98408,                0.91683,                0.85154,                0.57782,                 0.6646,                0.42739,                  1.034,                0.77829,                0.88961,              0.0093664,              0.0093664,              0.0093664
                     18,                 1.3039,                0.97727,                0.91199,                0.79694,                0.58172,                0.68191,                0.38088,                 1.1113,                 0.9224,                0.89667,              0.0093268,              0.0093268,              0.0093268
                     19,                 1.2509,                0.96229,                0.91439,                0.87718,                0.57511,                0.70674,                0.42921,                 1.0714,                0.77596,                0.89376,              0.0092872,              0.0092872,              0.0092872
                     20,                 1.2251,                0.93585,                0.91171,                0.90213,                0.54663,                0.71846,                0.43992,                 1.0653,                0.80293,                0.88766,              0.0092476,              0.0092476,              0.0092476
