                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4667,                  4.057,                0.99793,                0.01471,                 0.0555,                0.00899,                0.00367,                 2.1974,                 3.7201,                 0.8828,               0.070789,              0.0032456,              0.0032456
                      1,                 2.7583,                 2.2856,                 0.9413,                0.03055,                0.18011,                0.08787,                0.02907,                  2.485,                   2.79,                0.95219,               0.040757,              0.0065464,              0.0065464
                      2,                 2.9871,                 2.0515,                0.98253,                0.78037,                0.05781,                0.01718,                0.00462,                 3.6189,                 2.2373,                 1.0954,               0.010691,              0.0098141,              0.0098141
                      3,                 3.0952,                 2.2391,                 1.0102,                0.55926,                0.09635,                0.03834,                0.00938,                 3.6289,                 2.2282,                 1.0826,              0.0098515,              0.0098515,              0.0098515
                      4,                 2.9313,                 1.8682,                0.98102,                0.59987,                0.15825,                0.09492,                0.02421,                 2.9476,                 1.6854,                 1.0042,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.8844,                 1.7187,                 0.9735,                0.60359,                0.15765,                0.10129,                0.02999,                 2.7747,                 1.4993,                 0.9915,               0.009802,               0.009802,               0.009802
                      6,                 2.6773,                 1.6038,                0.94782,                0.59129,                0.16264,                0.10524,                0.03662,                 2.5078,                 1.4697,                  0.948,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.6791,                 1.5868,                0.94031,                0.37974,                0.19406,                0.14062,                0.04627,                 2.5401,                 1.4481,                0.93576,               0.009703,               0.009703,               0.009703
                      8,                 2.5859,                 1.5563,                0.93193,                0.66536,                 0.1969,                0.14809,                0.04581,                 2.5173,                  1.357,                0.92778,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.4257,                 1.4363,                0.93161,                0.75555,                 0.2227,                0.20643,                0.08059,                 2.1745,                  1.201,                0.92333,               0.009604,               0.009604,               0.009604
                     10,                 2.3464,                 1.4392,                0.92144,                0.77499,                  0.228,                0.20487,                0.08146,                 2.0673,                 1.2579,                0.91593,              0.0095545,              0.0095545,              0.0095545
                     11,                 2.3332,                 1.3866,                 0.9065,                0.82348,                0.22808,                0.22135,                0.08745,                 2.1087,                 1.2026,                0.90967,               0.009505,               0.009505,               0.009505
                     12,                 2.2484,                 1.3276,                0.89166,                0.80783,                0.20189,                0.17831,                0.06598,                 2.4078,                 1.2581,                0.93285,              0.0094555,              0.0094555,              0.0094555
                     13,                 2.2834,                 1.3312,                0.90317,                0.87386,                0.21892,                0.23662,                0.09424,                 2.0406,                 1.1317,                0.91288,               0.009406,               0.009406,               0.009406
