                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0894,                 1.8497,                0.91119,                0.48201,                0.32606,                0.27944,                0.19848,                 0.9569,                0.96361,                0.86527,               0.070789,              0.0032456,              0.0032456
                      1,                 1.2197,                  1.293,                0.88715,                0.63988,                0.41434,                0.40076,                0.24823,                 1.1842,                0.96968,                0.90496,               0.040757,              0.0065464,              0.0065464
                      2,                 1.3339,                 1.5843,                0.92149,                0.59413,                0.44981,                0.41947,                0.25465,                 1.1783,                 1.5801,                0.93278,               0.010691,              0.0098141,              0.0098141
                      3,                 1.6378,                 1.4425,                0.95935,                0.67622,                 0.4798,                0.53206,                0.22687,                 1.9739,                 1.9276,                  1.046,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.6579,                 1.5724,                0.99028,                 0.4399,                0.51716,                0.50518,                0.26477,                 1.5771,                 1.9283,                 1.0135,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.4413,                 1.2465,                0.96368,                 0.4422,                0.46911,                0.47174,                0.17577,                 1.9607,                 1.3418,                  1.068,               0.009802,               0.009802,               0.009802
                      6,                 1.4016,                 1.1103,                 0.9519,                0.68562,                 0.7156,                0.71408,                 0.4177,                 1.0786,                0.74672,                0.89963,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.2525,                0.90302,                 0.9351,                0.63587,                 0.6891,                0.72775,                0.44518,                 1.0632,                 0.9175,                0.90551,               0.009703,               0.009703,               0.009703
                      8,                 1.3211,                0.79813,                0.92443,                0.86786,                0.69137,                0.77643,                0.46324,                 1.0952,                0.67936,                0.89896,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.2548,                0.77917,                 0.9303,                0.83542,                0.73084,                0.79356,                0.39192,                 1.1809,                0.82132,                 0.9264,               0.009604,               0.009604,               0.009604
                     10,                 1.2413,                0.75382,                0.91846,                0.83396,                0.70663,                0.78408,                0.48205,                 0.9867,                0.63897,                0.88915,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.2016,                0.69498,                0.92127,                 0.8594,                0.75187,                0.78938,                0.45916,                 1.0513,                0.59289,                0.89195,               0.009505,               0.009505,               0.009505
                     12,                 1.2114,                 0.6414,                0.91197,                0.88639,                0.74365,                0.81092,                0.50114,                0.92376,                0.55644,                0.87684,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.2103,                0.64185,                0.89975,                0.87362,                0.70163,                0.79019,                0.47721,                 1.0682,                0.61552,                0.89135,               0.009406,               0.009406,               0.009406
                     14,                 1.1237,                0.65669,                0.90564,                0.86376,                0.74662,                0.82098,                0.49542,                 1.0788,                0.59307,                0.89968,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.1259,                0.59045,                 0.9102,                0.86676,                0.75567,                0.81667,                0.53973,                0.97403,                   0.54,                0.88078,               0.009307,               0.009307,               0.009307
                     16,                 1.0993,                0.58629,                0.88609,                0.81763,                0.78697,                0.82489,                 0.5124,                 1.0682,                0.56484,                0.88051,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.0347,                0.60532,                0.88181,                0.87595,                0.75076,                0.83548,                0.54564,                0.94895,                0.53916,                0.87265,               0.009208,               0.009208,               0.009208
                     18,                 1.0698,                0.56761,                0.88341,                0.91541,                0.74557,                0.83286,                0.52503,                 1.1289,                0.56837,                0.88733,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.0993,                0.57347,                0.88476,                0.90704,                0.77424,                0.84885,                0.54024,                0.96991,                0.49719,                0.87141,               0.009109,               0.009109,               0.009109
                     20,                 1.0644,                0.54544,                0.87787,                0.93008,                0.78966,                0.84611,                0.54929,                0.95111,                0.51704,                0.85702,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.0459,                0.54938,                0.87974,                0.93617,                 0.7705,                0.84413,                0.55405,                0.92135,                0.51263,                0.87673,                0.00901,                0.00901,                0.00901
                     22,                 1.0458,                0.54264,                0.87902,                0.89473,                0.79686,                   0.85,                0.56089,                0.85554,                 0.4897,                 0.8588,              0.0089605,              0.0089605,              0.0089605
                     23,                0.99706,                0.54941,                0.86596,                0.89959,                0.76963,                0.83173,                0.53472,                0.92777,                 0.5209,                0.87749,               0.008911,               0.008911,               0.008911
                     24,                 1.0098,                 0.5281,                0.87449,                0.93305,                0.77241,                0.84565,                0.53545,                 1.0417,                0.54567,                0.88035,              0.0088615,              0.0088615,              0.0088615
                     25,                0.96526,                0.53561,                0.86558,                0.90579,                0.78567,                0.84508,                0.54991,                0.93434,                0.50947,                0.87562,               0.008812,               0.008812,               0.008812
                     26,                0.99548,                0.52395,                0.86871,                0.87606,                0.78552,                 0.8403,                0.56573,                0.87954,                0.49402,                0.86686,              0.0087625,              0.0087625,              0.0087625
                     27,                0.95646,                0.51405,                0.87144,                0.93619,                0.76136,                0.84508,                0.56262,                0.93517,                0.49973,                0.86977,               0.008713,               0.008713,               0.008713
                     28,                0.97922,                0.51862,                0.86633,                0.93967,                0.78899,                0.84191,                0.57454,                0.93459,                0.50749,                0.86299,              0.0086635,              0.0086635,              0.0086635
                     29,                0.96069,                0.50476,                0.86237,                0.94215,                0.78476,                0.84896,                0.58294,                0.83527,                0.46712,                0.85281,               0.008614,               0.008614,               0.008614
                     30,                0.94997,                0.51271,                0.86042,                0.88633,                0.80591,                0.85012,                0.57834,                0.93291,                0.49086,                 0.8616,              0.0085645,              0.0085645,              0.0085645
                     31,                0.93765,                0.48912,                0.86213,                0.94009,                0.79968,                0.84512,                0.57693,                 0.8432,                0.45584,                0.85825,               0.008515,               0.008515,               0.008515
                     32,                0.93228,                 0.4863,                0.85763,                0.90836,                0.79268,                0.85222,                0.56429,                0.85081,                0.46631,                0.85568,              0.0084655,              0.0084655,              0.0084655
                     33,                0.93511,                 0.4902,                 0.8536,                0.89802,                0.81656,                0.86459,                0.59202,                0.88046,                0.45891,                0.85359,               0.008416,               0.008416,               0.008416
                     34,                0.94738,                0.49833,                0.85825,                0.92512,                 0.8075,                0.86669,                 0.6146,                0.82084,                0.46158,                0.85344,              0.0083665,              0.0083665,              0.0083665
                     35,                0.91852,                0.48042,                0.85601,                0.92396,                0.78205,                 0.8608,                0.57137,                 0.8355,                0.45763,                0.85439,               0.008317,               0.008317,               0.008317
                     36,                0.91834,                0.47327,                0.85508,                0.85563,                0.81346,                0.84419,                0.56687,                0.83061,                0.45932,                0.85785,              0.0082675,              0.0082675,              0.0082675
                     37,                0.90302,                0.48298,                0.85151,                0.90917,                 0.7988,                0.85819,                0.61053,                0.79358,                0.45695,                0.85203,               0.008218,               0.008218,               0.008218
                     38,                0.89701,                0.48525,                0.85913,                0.91966,                0.79888,                0.86116,                 0.6068,                0.82409,                0.44954,                0.85365,              0.0081685,              0.0081685,              0.0081685
                     39,                0.91199,                0.47289,                 0.8568,                0.89377,                  0.806,                0.86307,                0.61497,                0.80696,                0.44109,                0.84844,               0.008119,               0.008119,               0.008119
                     40,                0.88527,                0.46394,                0.85226,                0.88917,                0.79503,                0.85486,                0.59012,                0.82342,                0.45053,                0.85763,              0.0080695,              0.0080695,              0.0080695
                     41,                0.89041,                0.47782,                0.84486,                0.88975,                0.78715,                 0.8518,                0.59329,                0.84509,                0.46072,                0.85404,                0.00802,                0.00802,                0.00802
                     42,                0.88757,                0.45521,                 0.8532,                0.87601,                0.81329,                0.85553,                0.57993,                0.86331,                0.46355,                0.86021,              0.0079705,              0.0079705,              0.0079705
                     43,                0.88047,                0.46395,                0.83953,                0.91978,                 0.7805,                 0.8461,                0.60052,                 0.7904,                0.44445,                0.84512,               0.007921,               0.007921,               0.007921
                     44,                0.86942,                0.45434,                  0.849,                 0.9414,                0.78338,                0.85575,                0.60158,                0.84572,                0.45039,                 0.8521,              0.0078715,              0.0078715,              0.0078715
                     45,                0.87185,                0.45474,                0.84151,                0.93251,                0.83375,                 0.8843,                0.61088,                0.84218,                  0.448,                0.86189,               0.007822,               0.007822,               0.007822
                     46,                0.87457,                0.45182,                0.84039,                0.90353,                0.83786,                0.87743,                 0.6178,                  0.821,                0.43222,                0.84831,              0.0077725,              0.0077725,              0.0077725
                     47,                0.86958,                0.44527,                0.84205,                0.85268,                0.86634,                0.85628,                0.59632,                0.84283,                0.44965,                0.85837,               0.007723,               0.007723,               0.007723
