                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.923,                 3.1098,                 1.5288,                 0.8478,                0.61044,                0.69815,                0.26424,                 1.9745,                 2.0802,                 1.8135,                0.07033,              0.0032967,              0.0032967
                      1,                 1.7758,                 1.7683,                 1.4284,                0.81052,                0.67123,                 0.7269,                0.30961,                  1.908,                 1.4799,                 1.6673,               0.040264,              0.0065644,              0.0065644
                      2,                 1.8668,                 1.7476,                 1.4766,                0.84158,                0.67923,                0.75094,                0.31146,                 1.9047,                 2.0697,                 1.6358,               0.010132,              0.0097661,              0.0097661
                      3,                 1.8529,                 1.6022,                 1.4532,                0.82222,                0.69863,                0.73353,                0.30806,                 1.9047,                 1.5544,                 1.6997,               0.009703,               0.009703,               0.009703
                      4,                 1.8622,                 1.5948,                 1.4908,                0.83163,                0.68493,                0.73289,                0.31923,                 1.9103,                  2.199,                 1.6826,               0.009703,               0.009703,               0.009703
                      5,                 1.8852,                  1.582,                  1.471,                0.79286,                0.66667,                0.72818,                0.31238,                 1.8887,                 1.5907,                 1.6233,               0.009604,               0.009604,               0.009604
                      6,                 1.8548,                 1.5289,                  1.449,                0.81855,                 0.6621,                0.73495,                0.30082,                 2.0182,                 1.4486,                 1.7348,               0.009505,               0.009505,               0.009505
                      7,                 1.8654,                 1.4489,                 1.4454,                0.77525,                0.65753,                0.66383,                0.28897,                 1.8948,                 1.7157,                 1.6281,               0.009406,               0.009406,               0.009406
                      8,                 1.9072,                  1.556,                 1.4889,                0.84154,                  0.679,                0.76005,                0.33142,                 1.9011,                 2.3712,                 1.6434,               0.009307,               0.009307,               0.009307
                      9,                 1.8546,                 1.3914,                 1.4723,                0.80266,                0.67123,                0.75813,                0.33534,                 1.9304,                 1.2579,                 1.6359,               0.009208,               0.009208,               0.009208
