                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.867,                  3.604,                0.97356,                0.03735,                0.15391,                0.13366,                0.04575,                 2.0903,                 3.2651,                0.95236,               0.070789,              0.0032456,              0.0032456
                      1,                 2.1652,                 1.8992,                0.95871,                0.02655,                0.16881,                0.05838,                0.01809,                  2.847,                 2.7456,                 1.0329,               0.040768,              0.0065572,              0.0065572
                      2,                  2.342,                 1.8672,                 1.0057,                0.81133,                0.11357,                0.05009,                0.01379,                 2.9985,                 1.9236,                 1.1359,               0.010724,              0.0098469,              0.0098469
                      3,                 2.4349,                 1.8349,                 1.0394,                0.63824,                0.17051,                 0.1305,                0.04153,                 2.4841,                 1.5387,                 1.0976,               0.009901,               0.009901,               0.009901
                      4,                 2.1781,                 1.7104,                 1.0001,                0.63813,                0.22022,                0.17097,                0.06194,                  2.294,                 1.5746,                 1.0503,               0.009901,               0.009901,               0.009901
                      5,                 2.1338,                 1.6141,                 1.0029,                0.86451,                 0.1742,                0.13721,                0.05308,                 2.0851,                 1.5312,                 1.0085,               0.009868,               0.009868,               0.009868
                      6,                 2.0007,                 1.5191,                0.98021,                0.89005,                0.18916,                0.16886,                0.06931,                 1.7892,                 1.3758,                0.96794,               0.009835,               0.009835,               0.009835
                      7,                  1.891,                  1.465,                 0.9743,                0.65453,                0.25568,                0.21033,                 0.0897,                 1.9201,                 1.2607,                0.97607,               0.009802,               0.009802,               0.009802
                      8,                 1.8655,                 1.4112,                0.95096,                 0.7142,                 0.2467,                0.23046,                0.12112,                 1.5266,                 1.1996,                0.92542,               0.009769,               0.009769,               0.009769
                      9,                  1.846,                 1.3954,                0.93823,                0.73497,                0.25473,                0.21038,                0.09747,                 1.7866,                 1.3541,                0.94293,               0.009736,               0.009736,               0.009736
                     10,                 1.8947,                 1.3459,                0.94588,                0.89114,                0.26439,                0.28239,                0.15053,                 1.6147,                 1.1231,                0.92866,               0.009703,               0.009703,               0.009703
                     11,                 1.7415,                 1.2655,                0.93608,                0.84319,                0.24893,                0.28236,                0.14692,                 1.5485,                 1.0802,                0.91985,                0.00967,                0.00967,                0.00967
                     12,                 1.6926,                 1.2194,                0.90635,                0.79196,                0.27536,                0.30096,                0.15639,                  1.536,                 1.0834,                0.93209,               0.009637,               0.009637,               0.009637
                     13,                 1.6833,                 1.1719,                0.90367,                 0.7757,                0.32387,                 0.3366,                 0.1819,                 1.4533,                 1.0036,                0.89886,               0.009604,               0.009604,               0.009604
                     14,                 1.6484,                 1.1565,                 0.9036,                0.77368,                0.33972,                0.34269,                0.17886,                 1.5886,                 1.0333,                0.91465,               0.009571,               0.009571,               0.009571
                     15,                 1.6094,                 1.1027,                0.90437,                0.66375,                0.38485,                0.37966,                0.20501,                 1.4473,                0.94076,                0.90457,               0.009538,               0.009538,               0.009538
                     16,                 1.6212,                 1.1086,                0.89752,                0.68693,                0.40827,                0.39727,                0.20937,                 1.5143,                 1.0036,                0.92216,               0.009505,               0.009505,               0.009505
                     17,                  1.564,                 1.0721,                0.88666,                0.67178,                0.41553,                0.41912,                0.22394,                 1.4434,                 0.9124,                0.90011,               0.009472,               0.009472,               0.009472
                     18,                  1.617,                 1.0679,                 0.8877,                0.65044,                0.44529,                0.45961,                0.24756,                 1.5062,                0.96012,                0.90787,               0.009439,               0.009439,               0.009439
                     19,                 1.6094,                 1.0812,                0.88518,                0.78511,                0.49376,                0.52566,                0.27596,                  1.381,                0.84903,                0.88233,               0.009406,               0.009406,               0.009406
                     20,                 1.5373,                 1.0084,                0.87927,                0.79301,                0.51185,                 0.5483,                0.29253,                 1.4199,                 0.8008,                0.88415,               0.009373,               0.009373,               0.009373
                     21,                   1.53,                0.97062,                0.88035,                0.77144,                0.46546,                0.51674,                0.27418,                 1.4232,                0.89999,                0.90415,                0.00934,                0.00934,                0.00934
                     22,                 1.4964,                0.97042,                0.88056,                0.81234,                0.52225,                0.57197,                0.31888,                 1.3194,                0.79631,                0.87851,               0.009307,               0.009307,               0.009307
                     23,                  1.508,                0.95109,                0.87664,                0.85888,                0.53278,                 0.5958,                0.30275,                 1.4613,                0.84698,                0.88421,               0.009274,               0.009274,               0.009274
                     24,                 1.4643,                0.91991,                0.87595,                0.80545,                0.54973,                0.59248,                0.30772,                 1.4245,                 0.8406,                 0.8885,               0.009241,               0.009241,               0.009241
                     25,                 1.4557,                0.92657,                0.87105,                0.83018,                0.55936,                0.61125,                0.35532,                 1.2828,                0.74846,                0.87583,               0.009208,               0.009208,               0.009208
                     26,                 1.4515,                0.90179,                0.86874,                 0.7881,                0.56555,                0.59401,                0.34656,                 1.3347,                0.78818,                 0.8938,               0.009175,               0.009175,               0.009175
                     27,                 1.4607,                0.88338,                0.87019,                 0.8178,                0.58039,                0.59786,                0.32458,                 1.4208,                0.75339,                0.87796,               0.009142,               0.009142,               0.009142
                     28,                 1.4914,                0.87855,                0.86954,                0.81831,                0.56985,                0.61089,                0.33928,                 1.4356,                0.77156,                0.87383,               0.009109,               0.009109,               0.009109
                     29,                 1.4393,                0.88805,                0.87203,                0.81663,                0.55639,                0.59873,                0.34973,                 1.2485,                0.73831,                0.87905,               0.009076,               0.009076,               0.009076
                     30,                 1.4085,                0.85065,                 0.8714,                0.80575,                0.59963,                0.60911,                0.36463,                 1.2555,                 0.7199,                0.87586,               0.009043,               0.009043,               0.009043
                     31,                 1.3856,                 0.8467,                0.86672,                0.81906,                0.58066,                0.61959,                 0.3671,                 1.2836,                0.71668,                0.87841,                0.00901,                0.00901,                0.00901
                     32,                 1.4047,                 0.8297,                0.85833,                0.85671,                0.54386,                 0.6235,                 0.3557,                 1.2739,                0.71057,                0.86915,               0.008977,               0.008977,               0.008977
