                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0655,                 1.4495,                 1.0587,                0.71545,                0.66925,                0.65845,                0.47888,                 1.1254,                0.95735,                 1.0002,               0.070012,              0.0033319,              0.0033319
                      1,                0.96762,                0.96479,                 1.0209,                 0.7584,                0.56673,                0.68424,                0.51533,                0.99291,                0.97792,                0.98017,               0.039946,              0.0065993,              0.0065993
                      2,                0.99205,                0.95693,                 1.0416,                0.82983,                0.55046,                0.59157,                0.47918,                 1.0999,                 1.1078,                 1.0327,              0.0098145,              0.0098006,              0.0098006
                      3,                0.98898,                0.94023,                 1.0557,                0.73259,                0.55134,                0.63273,                0.49824,                 1.0291,                0.99293,                 1.0176,               0.009703,               0.009703,               0.009703
                      4,                0.91379,                0.83776,                 1.0276,                0.71781,                 0.6353,                0.69182,                 0.5339,                 0.9703,                0.85379,                  1.014,               0.009703,               0.009703,               0.009703
                      5,                0.86849,                0.77173,                 1.0073,                0.70823,                0.70258,                0.72483,                0.55668,                0.91407,                0.80763,                0.99102,               0.009604,               0.009604,               0.009604
                      6,                0.84508,                0.72983,                 1.0018,                0.69703,                0.57461,                0.65154,                0.53604,                0.92276,                0.93044,                0.98845,               0.009505,               0.009505,               0.009505
                      7,                 0.8163,                 0.7101,                0.98943,                0.74675,                0.65974,                0.71083,                0.56092,                0.89899,                0.81096,                0.98938,               0.009406,               0.009406,               0.009406
                      8,                0.79942,                0.66759,                0.98329,                0.75008,                0.65025,                0.68629,                0.55408,                0.90358,                0.81438,                0.98064,               0.009307,               0.009307,               0.009307
                      9,                0.78186,                0.65626,                0.97561,                0.75519,                 0.7384,                0.75626,                0.57491,                0.88884,                0.67383,                0.97608,               0.009208,               0.009208,               0.009208
                     10,                0.76416,                0.62876,                0.97185,                0.74209,                0.68487,                0.70914,                0.56554,                0.87897,                0.73129,                 0.9753,               0.009109,               0.009109,               0.009109
