                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4667,                  4.057,                0.99793,                0.01471,                 0.0555,                0.00899,                0.00367,                 2.1974,                 3.7201,                 0.8828,               0.070789,              0.0032456,              0.0032456
                      1,                 2.7969,                 2.3055,                0.94411,                 0.0199,                0.12898,                0.02796,                0.00748,                 3.5289,                 2.8343,                  1.021,               0.040659,              0.0064487,              0.0064487
                      2,                 2.8443,                 1.9925,                0.94592,                0.82771,                0.08182,                0.04886,                0.01288,                 3.0276,                 2.1297,                0.98807,               0.010397,              0.0095198,              0.0095198
                      3,                 3.0759,                 2.0324,                0.99126,                0.84998,                0.13734,                0.09222,                0.02843,                 2.7918,                 1.6605,                0.98173,               0.009406,               0.009406,               0.009406
                      4,                 2.7322,                 1.7652,                0.95438,                0.58536,                0.19257,                0.07911,                0.02633,                 2.5125,                 1.7127,                  0.964,               0.009406,               0.009406,               0.009406
                      5,                 2.6816,                 1.6496,                 0.9472,                0.61906,                0.19968,                0.12349,                0.04313,                 2.3058,                 1.4782,                0.92693,               0.009208,               0.009208,               0.009208
                      6,                 2.5875,                 1.6222,                0.93481,                0.63632,                0.17548,                0.12371,                0.03932,                 2.4615,                 1.4191,                 0.9293,                0.00901,                0.00901,                0.00901
                      7,                    2.5,                 1.5634,                0.92788,                0.41698,                 0.2139,                0.16499,                0.05792,                  2.155,                 1.3123,                0.89874,               0.008812,               0.008812,               0.008812
                      8,                 2.3825,                  1.489,                0.91609,                0.69073,                0.21724,                0.17714,                0.06244,                 2.2497,                 1.2972,                0.91244,               0.008614,               0.008614,               0.008614
                      9,                 2.2921,                 1.4601,                0.90356,                0.68955,                0.20998,                0.16549,                0.06098,                 2.1889,                 1.3442,                0.90729,               0.008416,               0.008416,               0.008416
                     10,                 2.3276,                 1.4247,                0.90629,                0.74241,                0.22596,                0.21725,                0.08723,                 2.0041,                  1.182,                0.90326,               0.008218,               0.008218,               0.008218
                     11,                 2.1708,                 1.3498,                0.90085,                 0.7988,                0.22559,                 0.2182,                0.08004,                 2.0495,                 1.1984,                0.89792,                0.00802,                0.00802,                0.00802
                     12,                  2.195,                 1.3402,                0.88315,                0.85713,                0.23076,                0.23622,                0.08818,                 2.1023,                 1.1455,                0.88745,               0.007822,               0.007822,               0.007822
                     13,                 2.1016,                   1.29,                 0.8768,                0.88354,                0.23732,                0.24362,                0.09809,                 1.9606,                  1.174,                0.87959,               0.007624,               0.007624,               0.007624
                     14,                 2.0047,                 1.2697,                0.87827,                0.84312,                0.24246,                0.25411,                0.10217,                 2.0648,                 1.1502,                0.88902,               0.007426,               0.007426,               0.007426
                     15,                 1.9655,                 1.1911,                0.87451,                0.91979,                0.22847,                0.27307,                0.12354,                 1.7705,                 1.0291,                0.87408,               0.007228,               0.007228,               0.007228
                     16,                 1.9673,                 1.1777,                0.85967,                0.91195,                0.23123,                0.27726,                0.12283,                 1.8302,                  1.028,                 0.8717,                0.00703,                0.00703,                0.00703
                     17,                 1.9301,                 1.1488,                0.85505,                0.55599,                0.25333,                 0.2908,                0.13269,                  1.875,                 0.9983,                0.86407,               0.006832,               0.006832,               0.006832
                     18,                  1.946,                 1.1474,                0.85079,                0.58491,                0.26211,                0.28839,                0.12744,                 1.8592,                 1.0157,                0.87524,               0.006634,               0.006634,               0.006634
                     19,                 1.9656,                  1.152,                0.85522,                0.67384,                0.31551,                0.33849,                0.16239,                 1.7069,                0.96027,                0.85936,               0.006436,               0.006436,               0.006436
                     20,                 1.8572,                 1.0977,                0.85663,                0.69692,                0.29286,                0.34249,                0.16232,                 1.6917,                0.94343,                0.85511,               0.006238,               0.006238,               0.006238
                     21,                 1.8577,                 1.1043,                0.84952,                0.78789,                0.30382,                0.34778,                0.16114,                 1.7661,                 0.9678,                0.85933,                0.00604,                0.00604,                0.00604
                     22,                 1.7928,                 1.0661,                0.85344,                 0.7221,                0.33311,                0.38742,                0.18478,                 1.6349,                0.91427,                0.85214,               0.005842,               0.005842,               0.005842
                     23,                 1.7607,                  1.036,                0.84849,                0.73832,                0.37911,                0.42958,                0.20237,                 1.7245,                0.90355,                0.85467,               0.005644,               0.005644,               0.005644
                     24,                 1.7561,                 1.0137,                0.84695,                0.75585,                0.37633,                 0.4326,                0.19804,                  1.744,                0.87954,                0.84683,               0.005446,               0.005446,               0.005446
                     25,                 1.7428,                 1.0088,                 0.8382,                0.73884,                0.40298,                0.43449,                0.20402,                 1.7329,                 0.8851,                0.85257,               0.005248,               0.005248,               0.005248
                     26,                 1.7074,                0.98569,                0.84029,                0.75379,                0.39786,                0.44802,                0.21965,                 1.6043,                0.84132,                0.85191,                0.00505,                0.00505,                0.00505
                     27,                 1.6834,                0.97646,                0.84232,                0.78663,                0.42599,                0.47461,                0.23407,                 1.5593,                0.81551,                0.84321,               0.004852,               0.004852,               0.004852
                     28,                 1.7246,                0.97743,                0.84193,                0.82298,                0.40528,                 0.4841,                0.23244,                 1.5923,                0.81515,                0.84356,               0.004654,               0.004654,               0.004654
                     29,                 1.6453,                0.94977,                0.83488,                0.77963,                 0.4136,                0.47005,                0.22602,                 1.6541,                  0.844,                0.85384,               0.004456,               0.004456,               0.004456
                     30,                 1.6235,                0.93864,                0.83668,                0.82355,                0.39779,                0.48763,                0.24498,                 1.5109,                0.80218,                0.83921,               0.004258,               0.004258,               0.004258
                     31,                 1.6334,                0.93839,                0.83722,                0.77734,                0.42134,                0.48978,                0.24452,                 1.5248,                0.79927,                0.84161,                0.00406,                0.00406,                0.00406
                     32,                 1.6246,                0.93457,                0.83182,                0.86372,                 0.4152,                0.50081,                0.25574,                 1.5185,                0.77808,                 0.8419,               0.003862,               0.003862,               0.003862
                     33,                 1.6084,                0.92467,                0.83006,                0.85429,                0.42788,                0.50122,                0.25829,                 1.4712,                0.78581,                0.83822,               0.003664,               0.003664,               0.003664
                     34,                 1.6074,                0.92147,                0.83257,                0.82597,                0.42984,                0.51057,                0.25829,                 1.4768,                0.77591,                0.83824,               0.003466,               0.003466,               0.003466
                     35,                 1.5635,                0.90307,                0.82274,                0.83087,                0.42794,                0.51935,                0.24971,                 1.5454,                 0.7867,                0.84128,               0.003268,               0.003268,               0.003268
                     36,                 1.5713,                0.89406,                0.82242,                0.83902,                0.42237,                0.52607,                0.26538,                 1.4833,                0.76438,                0.83626,                0.00307,                0.00307,                0.00307
                     37,                 1.5642,                0.88615,                0.82579,                0.84207,                0.44059,                0.52728,                0.27315,                 1.4492,                0.74116,                0.83223,               0.002872,               0.002872,               0.002872
                     38,                 1.5036,                0.87418,                 0.8287,                0.82673,                0.43179,                0.51578,                0.27297,                 1.4172,                0.73931,                0.83292,               0.002674,               0.002674,               0.002674
                     39,                 1.5367,                0.87802,                0.82041,                0.84898,                0.44839,                0.52749,                0.27829,                 1.4256,                0.73853,                0.83018,               0.002476,               0.002476,               0.002476
                     40,                 1.5188,                0.86408,                0.82025,                 0.9006,                0.42282,                0.53081,                0.28455,                 1.4291,                0.73544,                0.82785,               0.002278,               0.002278,               0.002278
                     41,                 1.4975,                0.86913,                0.82162,                0.87899,                0.43597,                0.53353,                0.29014,                 1.3817,                0.72755,                0.82685,                0.00208,                0.00208,                0.00208
                     42,                  1.519,                0.86106,                0.81754,                0.84725,                0.44208,                0.53549,                0.28694,                 1.3867,                 0.7224,                0.82601,               0.001882,               0.001882,               0.001882
                     43,                 1.4732,                0.84265,                0.81653,                0.85078,                0.43742,                0.53279,                0.28813,                 1.3964,                0.71809,                 0.8253,               0.001684,               0.001684,               0.001684
                     44,                 1.4215,                0.83191,                0.82133,                0.87592,                0.42134,                0.53324,                0.29034,                 1.3462,                0.69605,                0.82578,               0.001486,               0.001486,               0.001486
                     45,                 1.4615,                0.83006,                0.81714,                0.84168,                0.43882,                 0.5321,                0.28444,                 1.3631,                0.70524,                0.82587,               0.001288,               0.001288,               0.001288
                     46,                 1.4315,                0.82464,                0.80938,                0.81374,                0.46528,                0.53455,                0.28949,                 1.3458,                0.69512,                0.82598,                0.00109,                0.00109,                0.00109
                     47,                 1.4223,                0.82128,                0.81345,                0.85029,                0.44922,                0.53664,                0.29612,                 1.3437,                0.68445,                0.82389,               0.000892,               0.000892,               0.000892
                     48,                  1.392,                0.80609,                0.81574,                0.87605,                0.44541,                0.53768,                0.29719,                 1.3436,                0.68307,                0.82339,               0.000694,               0.000694,               0.000694
                     49,                 1.4315,                0.81287,                0.80925,                0.83106,                 0.4564,                0.53648,                0.29819,                 1.3221,                0.67805,                0.82251,               0.000496,               0.000496,               0.000496
