                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.923,                 3.1098,                 1.5288,                 0.8478,                0.61044,                0.69815,                0.26424,                 1.9745,                 2.0802,                 1.8135,                0.07033,              0.0032967,              0.0032967
                      1,                 1.7849,                 1.7456,                 1.4356,                0.81776,                 0.7581,                 0.7997,                0.37105,                  1.849,                 1.4664,                 1.6586,               0.040111,              0.0064112,              0.0064112
                      2,                 1.8784,                 1.7216,                 1.4691,                0.83654,                 0.6621,                0.73589,                0.32268,                 1.9063,                 1.5524,                 1.6988,              0.0096721,              0.0093058,              0.0093058
                      3,                 1.8426,                 1.6277,                 1.4681,                0.84203,                0.65718,                0.74435,                0.32127,                 1.8977,                 1.8457,                 1.7467,                0.00901,                0.00901,                0.00901
                      4,                 1.8501,                  1.561,                 1.4892,                0.76756,                0.67855,                0.72259,                0.30315,                 1.9243,                 1.4675,                 1.6731,                0.00901,                0.00901,                0.00901
                      5,                 1.8767,                 1.4847,                 1.4926,                0.82752,                0.69863,                0.74613,                0.31577,                  1.913,                 1.5138,                 1.6853,                0.00868,                0.00868,                0.00868
                      6,                 1.8537,                 1.4886,                 1.4749,                0.90545,                0.63014,                0.77848,                0.35832,                 1.8777,                 1.2473,                   1.64,                0.00835,                0.00835,                0.00835
                      7,                 1.8704,                  1.408,                 1.4742,                0.71645,                 0.6895,                0.66527,                0.29312,                 1.8885,                  1.402,                 1.6976,                0.00802,                0.00802,                0.00802
                      8,                 1.8778,                 1.4689,                 1.4933,                0.76894,                0.71421,                0.76156,                 0.3326,                 1.9006,                 2.0773,                 1.7131,                0.00769,                0.00769,                0.00769
                      9,                 1.8276,                 1.3034,                 1.4785,                 0.7506,                0.71233,                0.69896,                0.30637,                  1.929,                 1.2099,                 1.6887,                0.00736,                0.00736,                0.00736
                     10,                 1.8409,                 1.3325,                 1.4799,                0.86037,                 0.7032,                0.76889,                0.32638,                 1.9155,                 1.2555,                 1.6655,                0.00703,                0.00703,                0.00703
                     11,                  1.781,                 1.3164,                  1.452,                0.89147,                0.75015,                0.80339,                0.36629,                 1.8592,                 1.1886,                 1.6453,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.8348,                 1.2648,                 1.4399,                0.72319,                0.75156,                0.72746,                0.30707,                 1.9831,                  1.265,                  1.717,                0.00637,                0.00637,                0.00637
                     13,                  1.781,                 1.1757,                 1.4463,                0.80154,                0.76256,                0.79484,                0.35811,                 1.9038,                 1.0207,                 1.7059,                0.00604,                0.00604,                0.00604
                     14,                 1.7512,                  1.136,                 1.4197,                0.86308,                0.74429,                0.81625,                0.37692,                 1.8983,                 1.0225,                 1.6754,                0.00571,                0.00571,                0.00571
                     15,                  1.814,                 1.1629,                 1.4573,                0.83378,                0.73516,                0.77921,                 0.3588,                 1.8766,                 1.0864,                 1.6474,                0.00538,                0.00538,                0.00538
                     16,                 1.7984,                 1.1776,                  1.456,                0.85153,                0.75951,                0.79108,                0.36981,                 1.8595,                 1.0528,                 1.6427,                0.00505,                0.00505,                0.00505
                     17,                 1.7226,                 1.1424,                 1.4217,                 0.8333,                0.78539,                0.83915,                0.38918,                 1.8756,                 0.9775,                 1.6635,                0.00472,                0.00472,                0.00472
                     18,                 1.6991,                 1.0629,                 1.3729,                0.90094,                0.81735,                0.85624,                0.37161,                 1.9195,                 0.9388,                 1.6714,                0.00439,                0.00439,                0.00439
                     19,                 1.7436,                 1.0752,                 1.3887,                0.91794,                0.76616,                0.85237,                0.38995,                 1.9048,                0.93739,                 1.6781,                0.00406,                0.00406,                0.00406
                     20,                 1.7227,                  1.063,                 1.3989,                0.85358,                 0.7986,                0.84276,                0.39384,                 1.8546,                0.93795,                 1.6391,                0.00373,                0.00373,                0.00373
                     21,                 1.6534,                 1.0165,                 1.3297,                0.84536,                0.84932,                0.86808,                0.39575,                 1.8638,                0.90004,                 1.6388,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.6708,                 1.0078,                 1.3583,                0.78984,                0.84088,                0.84541,                0.38582,                 1.8586,                0.89056,                 1.6481,                0.00307,                0.00307,                0.00307
                     23,                  1.651,                0.98536,                 1.3705,                0.91741,                0.76084,                0.86732,                0.39791,                 1.8767,                0.88736,                 1.6516,                0.00274,                0.00274,                0.00274
                     24,                 1.6435,                0.93652,                 1.3301,                0.89304,                0.79452,                0.87626,                0.41305,                 1.8772,                0.87195,                 1.6476,                0.00241,                0.00241,                0.00241
                     25,                  1.642,                0.95539,                   1.36,                0.89381,                0.79909,                0.85971,                0.39765,                 1.8617,                0.89425,                 1.6411,                0.00208,                0.00208,                0.00208
                     26,                 1.6553,                0.92391,                 1.3439,                0.86264,                0.83161,                0.85373,                0.41215,                 1.8342,                0.83605,                 1.6161,                0.00175,                0.00175,                0.00175
                     27,                 1.6161,                0.93704,                  1.357,                0.86067,                0.84619,                0.87291,                0.41443,                 1.8717,                0.82699,                 1.6432,                0.00142,                0.00142,                0.00142
                     28,                 1.6115,                0.88309,                 1.3447,                0.87336,                0.83562,                0.86292,                0.40524,                 1.8315,                0.83418,                 1.6177,                0.00109,                0.00109,                0.00109
                     29,                 1.5566,                0.87244,                  1.293,                0.88806,                0.81279,                0.85426,                0.40634,                 1.8731,                 0.8265,                 1.6513,                0.00076,                0.00076,                0.00076
