                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4667,                  4.057,                0.99793,                0.01471,                 0.0555,                0.00899,                0.00367,                 2.1974,                 3.7201,                 0.8828,               0.070789,              0.0032456,              0.0032456
                      1,                 2.7758,                 2.2511,                0.94068,                0.02814,                0.19805,                0.07596,                0.02102,                 2.9508,                 2.6946,                0.96085,               0.040724,              0.0065138,              0.0065138
                      2,                 2.9792,                 2.0214,                0.96607,                0.83455,                0.07888,                0.05015,                0.01213,                 3.2785,                 1.9164,                 1.0357,               0.010593,               0.009716,               0.009716
                      3,                 3.1755,                 2.0821,                0.98481,                0.85657,                0.11819,                0.09749,                0.03084,                 2.6114,                 1.8364,                0.94309,               0.009703,               0.009703,               0.009703
                      4,                 2.7926,                 1.7814,                0.94353,                0.58963,                0.14387,                0.07723,                0.02074,                 3.0453,                 2.0109,                 0.9791,               0.009703,               0.009703,               0.009703
                      5,                 2.7214,                  1.682,                 0.9662,                0.57861,                0.14146,                0.07451,                0.02046,                 3.0619,                 1.7145,                0.98156,               0.009604,               0.009604,               0.009604
                      6,                  2.581,                 1.6523,                 0.9332,                0.66777,                0.19089,                0.15869,                0.05498,                 2.3799,                 1.3591,                0.92248,               0.009505,               0.009505,               0.009505
                      7,                  2.534,                 1.5035,                0.92027,                0.64959,                0.19874,                0.15324,                0.05147,                 2.3758,                 1.3944,                0.92578,               0.009406,               0.009406,               0.009406
                      8,                 2.3882,                 1.5022,                0.91659,                0.66311,                0.20596,                0.16496,                0.06152,                 2.1143,                 1.2788,                0.92358,               0.009307,               0.009307,               0.009307
                      9,                 2.3866,                 1.4635,                0.91697,                0.68614,                0.20211,                0.14383,                0.05173,                 2.2676,                 1.3525,                0.93397,               0.009208,               0.009208,               0.009208
                     10,                 2.2832,                 1.4197,                0.89969,                0.77711,                0.22491,                0.21984,                 0.0844,                  2.096,                 1.2313,                0.89329,               0.009109,               0.009109,               0.009109
                     11,                 2.2262,                 1.3706,                0.89325,                0.83629,                0.23194,                0.21966,                0.07672,                 2.2458,                 1.2656,                0.88793,                0.00901,                0.00901,                0.00901
                     12,                 2.1754,                 1.3918,                0.88333,                0.83548,                0.23269,                0.20741,                0.08357,                 2.0649,                 1.2547,                0.89104,               0.008911,               0.008911,               0.008911
                     13,                 2.1732,                 1.2879,                0.88436,                0.86592,                0.23227,                0.23533,                0.08784,                 2.2231,                 1.1373,                 0.8871,               0.008812,               0.008812,               0.008812
                     14,                 2.1767,                  1.273,                0.88633,                0.83189,                0.24665,                0.25763,                 0.1107,                 1.8191,                 1.0726,                0.88391,               0.008713,               0.008713,               0.008713
                     15,                 2.0481,                 1.2502,                0.88327,                0.82035,                0.24186,                0.24993,                0.10229,                 1.9845,                 1.1846,                0.87711,               0.008614,               0.008614,               0.008614
                     16,                 2.0681,                 1.2255,                0.86193,                0.89272,                0.24032,                0.26567,                0.10627,                 2.0438,                 1.1051,                0.87168,               0.008515,               0.008515,               0.008515
                     17,                 2.0286,                 1.2051,                0.86232,                0.58652,                0.26068,                0.28116,                0.12748,                 1.7972,                 1.0481,                0.87437,               0.008416,               0.008416,               0.008416
                     18,                 1.9786,                 1.1881,                0.86017,                0.51401,                0.28625,                0.29006,                 0.1212,                 1.9233,                 1.0547,                0.88139,               0.008317,               0.008317,               0.008317
                     19,                  1.984,                 1.1681,                0.86689,                0.51629,                0.29299,                 0.3144,                0.13198,                 2.0163,                 1.0322,                 0.8758,               0.008218,               0.008218,               0.008218
